Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
skip to main content,2,0,4,0,0,2,0,0,0
recipes,2,2,1,0,0,1,0,0,0
tips tricks,2,2,2,0,0,2,0,0,0
1 recipes,1,2,2,1,1,1,0,0,0
2 desserts,1,1,2,1,1,1,0,0,0
3 cheesecakes,1,1,2,1,1,1,0,0,0
4 red velvet cheesecake,0,1,4,1,1,2,0,0,0
1 eric lanlard red velvet cheesecake webjpg https //assets eu 01kc,1,0,11,1,3,5,1,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/59c6cec5 02ef 47f3 93c3 5146e0d20416/1 eric,1,1,11,1,45,2,0,0,0
lanlard red velvet cheesecake,1,1,4,0,0,2,0,0,0
webjpg w 3840 q 85 auto format lossless 1,0,1,9,1,7,6,0,0,0
1 eric lanlard red velvet,1,0,5,1,1,1,0,0,0
cheesecake webjpg https //assets eu 01kc,1,1,6,1,2,4,1,0,0
usercontentcom 443/559bb7d3 88a4 01c1 79a3 dd4d5b2d2bb0/59c6cec5 02ef 47f3 93c3 5146e0d20416/1 eric,1,1,11,1,45,2,0,0,0
lanlard red velvet cheesecake webjpg w 3840 q 85 auto format lossless 1,2,1,13,1,7,8,0,0,0
1h5mtotal time,2,2,2,1,2,1,0,0,0
25mprep time,2,2,2,1,2,1,0,0,0
40mbake time,2,2,2,1,2,1,0,0,0
12serves,2,2,1,1,2,1,0,0,0
easy,2,2,1,0,0,0,0,0,0
red velvet cheesecake,2,2,3,0,0,2,0,0,0
2 reviews,2,2,2,1,1,1,0,0,0
get started,2,2,2,0,0,1,1,0,0
about the bake,2,2,3,0,0,1,0,0,0
this is a creative twist on the popular red velvet cake combining the best of,1,2,15,0,0,3,2,0,0
both worlds cake and cheesecake this red velvet cheesecake is a wonderful,1,1,12,0,0,3,3,0,0
showstopper to serve to your friends and family,1,1,8,0,0,3,1,0,0
this recipe was developed by eric lanlard and features in his afternoon tea,1,1,13,0,0,5,2,0,0
recipe book,2,1,2,0,0,2,0,0,0
1h5mtotal time,2,2,2,1,2,1,0,0,0
25mprep time,2,2,2,1,2,1,0,0,0
40mbake time,2,2,2,1,2,1,0,0,0
12serves,2,2,1,1,2,1,0,0,0
easy,2,2,1,0,0,0,0,0,0
method,2,2,1,0,0,1,0,0,0
method,1,2,1,0,0,1,0,0,0
ingredients,1,1,1,0,0,1,0,0,0
reviews 2,2,1,2,1,1,1,0,0,0
1 step 1,2,2,3,1,2,1,0,0,0
preheat the oven to 180 c fan 160 c /350 f/gas mark 4 grease a 20cm 8in,1,2,17,1,13,6,0,0,0
diameter deep cake tin with butter and line the base with baking paper,2,1,13,0,0,7,1,0,0
2 step 2,2,2,3,1,2,1,0,0,0
in a large bowl cream the butter and sugar together until pale and fluffy,1,2,14,0,0,4,0,0,0
beat in the eggs one at a time beating well after each addition sift the,1,1,15,0,0,4,2,0,0
self raising flour plain flour cocoa powder and bicarbonate of soda,1,1,11,0,0,6,1,0,0
together then stir the flour mixture and buttermilk in alternating batches,1,1,11,0,0,3,2,0,0
into the butter mixture stir in the food colouring,2,1,9,0,0,5,0,0,0
3 step 3,2,2,3,1,2,1,0,0,0
spoon the mixture into the prepared tin and bake in the oven for 35 40,1,2,15,1,4,5,0,0,0
minutes or until a skewer inserted into the centre comes out clean leave to,1,1,14,0,0,3,3,0,0
cool in the tin for 5 minutes then turn out on to a cooling rack to cool,1,1,17,1,1,4,3,0,0
completely,2,1,1,0,0,0,0,0,0
4 step 4,2,2,3,1,2,1,0,0,0
to make the filling beat the cream cheese sugar and lemon juice together in,1,2,14,0,0,5,2,0,0
a bowl until smooth put the 2 tablespoons water into a heatproof jug and add,1,1,15,1,1,4,2,1,0
the gelatine,2,1,2,0,0,1,0,0,0
5 step 5,2,2,3,1,2,1,0,0,0
place the jug in a saucepan and add boiling water to come halfway up the side,1,2,16,0,0,5,2,0,0
of the jug stir until the gelatine dissolves if it seizes stir gently over,1,1,14,0,0,3,2,0,0
a low heat until it dissolves pour into the filling and beat until combined,1,1,14,0,0,3,2,0,0
whip the cream to soft peaks then fold into the cream cheese mixture,2,1,13,0,0,6,1,0,0
6 step 6,2,2,3,1,2,1,0,0,0
cut the cooled cake in half horizontally and trim the top to level it,1,2,14,0,0,2,3,0,0
reserving the trimmings for decoration brush a 20cm 8in diameter springform,1,1,11,1,3,5,1,0,0
cake tin with oil line the base and sides with clingfilm allowing it to,1,1,14,0,0,7,1,0,0
overhang the sides put the cake base cut side up into the tin and spread,1,1,15,0,0,7,1,0,0
with the filling sandwich together with the remaining cake fold over the,1,1,12,0,0,4,1,0,0
clingfilm and leave to set in the refrigerator overnight,2,1,9,0,0,2,3,0,0
7 step 7,2,2,3,1,2,1,0,0,0
to make the frosting beat the cream cheese butter icing sugar and vanilla,1,2,13,0,0,6,3,0,0
paste together in a bowl until well combined turn the cake out on to a,1,1,15,0,0,3,2,0,0
serving plate and spread the frosting over the top and sides decorate with,1,1,13,0,0,3,3,0,0
the reserved sponge crumbs,2,1,4,0,0,2,1,0,0
ingredients,2,2,1,0,0,1,0,0,0
metricimperial,2,2,1,0,0,1,0,0,0
for the cake,2,2,3,0,0,1,0,0,0
175g butter unsalted softened plus extra for greasing,1,2,8,1,3,1,2,0,0
150g billington s unrefined golden caster sugar,2,1,7,1,3,4,1,0,0
2 egg s free range,1,2,5,1,1,2,1,0,0
115g self raising white flour,2,1,5,1,3,2,1,0,0
40g allinson s plain white flour,2,2,6,1,2,3,1,0,0
2 tbsp cocoa powder,1,2,4,1,1,2,0,1,0
025 tsp bicarbonate of soda,1,1,5,1,3,2,0,1,0
125ml buttermilk,1,1,2,1,3,1,0,0,0
2 tbsp red food colouring paste,2,1,6,1,1,4,1,1,0
for the filling,2,2,3,0,0,1,0,0,0
250g cream cheese at room temperature,1,2,6,1,3,4,0,0,0
70g billington s unrefined golden caster sugar,2,1,7,1,2,4,1,0,0
2 tbsp juice of one whole lemon,1,2,7,1,1,2,0,1,0
2 tbsp warm water,1,1,4,1,1,1,0,1,0
15 tsp gelatine powdered,1,1,4,1,2,1,1,1,0
300ml double cream,2,1,3,1,3,1,0,0,0
for the frosting,2,2,3,0,0,1,0,0,0
250g cream cheese at room temperature,1,2,6,1,3,4,0,0,0
60g butter unsalted softened,1,1,4,1,2,1,2,0,0
85g icing sugar sifted,2,1,4,1,2,1,2,0,0
025 tsp vanilla bean paste,2,2,5,1,3,3,0,1,0
we d love a slice of advice,2,2,7,0,0,2,2,1,0
what s your star rating,0,2,5,0,0,2,1,0,0
tell your fellow bakers if it was tasty how it went any tips,2,0,13,0,0,2,3,0,0
recipe reviews,2,2,2,0,0,2,0,0,0
13-Feb-20,2,2,3,1,6,1,0,0,0
just made this as an alternative to a birthday cake for my daughter in law,1,2,15,0,0,4,1,0,0
delicious and easy to make i put white chocolate curls on top too,2,1,13,0,0,3,2,0,0
12-Jan-20,2,2,3,1,6,1,0,0,0
this recipe is so nice my 13 year old daughter made it for my birthday,2,2,15,1,2,4,2,0,0
ingredients,2,2,1,0,0,1,0,0,0
metricimperial,2,2,1,0,0,1,0,0,0
for the cake,2,2,3,0,0,1,0,0,0
175g butter unsalted softened plus extra for greasing,1,2,8,1,3,1,2,0,1
150g billington s unrefined golden caster sugar,2,1,7,1,3,4,1,0,1
2 egg s free range,1,2,5,1,1,2,1,0,1
115g self raising white flour,2,1,5,1,3,2,1,0,1
40g allinson s plain white flour,2,2,6,1,2,3,1,0,1
2 tbsp cocoa powder,1,2,4,1,1,2,0,1,1
025 tsp bicarbonate of soda,1,1,5,1,3,2,0,1,1
125ml buttermilk,1,1,2,1,3,1,0,0,1
2 tbsp red food colouring paste,2,1,6,1,1,4,1,1,1
for the filling,2,2,3,0,0,1,0,0,0
250g cream cheese at room temperature,1,2,6,1,3,4,0,0,1
